Frame,Ear Value,Abnormal Blink,PERCLOS,Alarm Level
711,0.213,1,0.00,0
712,0.219,1,0.00,0
713,0.216,1,0.00,0
714,0.213,1,0.00,0
715,0.213,1,0.00,0
716,0.221,1,0.00,0
717,0.205,1,0.00,0
718,0.224,1,0.00,0
719,0.195,1,0.00,0
720,0.212,1,0.00,0
721,0.235,1,0.00,0
722,0.221,1,0.00,0
723,0.187,1,0.00,0
724,0.214,1,0.00,0
725,0.191,1,0.00,0
726,0.224,1,0.00,0
727,0.199,1,0.00,0
728,0.194,1,0.00,0
729,0.176,1,0.00,0
730,0.195,1,0.00,0
731,0.182,1,0.00,0
732,0.224,1,0.00,0
733,0.203,1,0.00,0
734,0.195,1,0.00,0
735,0.213,1,0.00,0
736,0.213,1,0.00,0
737,0.196,1,0.00,0
738,0.210,1,0.00,0
739,0.229,1,0.00,0
740,0.210,1,0.00,0
741,0.194,1,0.00,0
742,0.242,1,0.00,0
743,0.205,1,0.00,0
744,0.220,1,0.00,0
745,0.221,1,0.00,0
746,0.220,1,0.00,0
747,0.251,1,0.00,0
748,0.223,1,0.00,0
749,0.215,1,0.00,0
750,0.194,1,0.00,0
751,0.210,1,0.00,0
752,0.183,1,0.00,0
753,0.176,1,0.00,0
754,0.164,1,0.00,0
755,0.203,1,0.00,0
756,0.195,1,0.00,0
757,0.225,1,0.00,0
758,0.194,1,0.00,0
759,0.203,1,0.00,0
760,0.196,1,0.00,0
761,0.221,1,0.00,0
762,0.202,1,0.00,0
763,0.175,1,0.00,0
764,0.164,1,0.00,0
765,0.194,1,0.00,0
766,0.197,1,0.00,0
767,0.190,1,0.00,0
768,0.214,1,0.00,0
769,0.190,1,0.00,0
770,0.175,1,0.00,0
771,0.183,1,0.00,0
772,0.184,1,0.00,0
773,0.208,1,0.00,0
774,0.194,1,0.00,0
775,0.208,1,0.00,0
776,0.164,1,0.00,0
777,0.215,1,0.00,0
778,0.181,1,0.00,0
779,0.183,1,0.00,0
780,0.187,1,0.00,0
781,0.156,1,0.00,0
782,0.195,1,0.00,0
783,0.170,1,0.00,0
784,0.233,1,0.00,0
785,0.181,1,0.00,0
786,0.195,1,0.00,0
787,0.223,1,0.00,0
788,0.203,1,0.00,0
789,0.203,1,0.00,0
790,0.215,1,0.00,0
791,0.185,1,0.00,0
792,0.213,1,0.00,0
793,0.202,1,0.00,0
794,0.230,1,0.00,0
795,0.249,1,0.00,0
796,0.213,1,0.00,0
797,0.183,1,0.00,0
798,0.206,1,0.00,0
799,0.195,1,0.00,0
800,0.236,1,0.00,0
801,0.232,1,0.00,0
802,0.199,1,0.00,0
803,0.242,1,0.00,0
804,0.218,1,0.00,0
805,0.221,1,0.00,0
806,0.213,1,0.00,0
807,0.229,1,0.00,0
808,0.221,1,0.00,0
809,0.213,1,0.00,0
810,0.213,1,0.00,0
811,0.213,1,0.00,0
812,0.195,1,0.00,0
813,0.218,1,0.00,0
814,0.218,1,0.00,0
815,0.212,1,0.00,0
816,0.221,1,0.00,0
817,0.221,1,0.00,0
818,0.213,1,0.00,0
819,0.199,1,0.00,0
820,0.193,1,0.00,0
821,0.210,1,0.00,0
822,0.213,1,0.00,0
823,0.168,1,0.00,0
824,0.157,1,0.00,0
825,0.164,1,0.00,0
826,0.181,1,0.00,0
827,0.202,1,0.00,0
828,0.188,1,0.00,0
829,0.157,1,0.00,0
830,0.175,1,0.00,0
831,0.176,1,0.00,0
832,0.195,1,0.00,0
833,0.211,1,0.00,0
834,0.199,1,0.00,0
835,0.195,1,0.00,0
836,0.206,1,0.00,0
